Codi_districte,Numero_incidents_GUB,Nom_districte,NK_Any,Nom_mes,Nom_barri,Descripcio_Incident,Mes_any,Codi_barri,Codi_Incident,_id,last_update
,2,,2025,gener,,INCENDIS,1,,0,1,2026-05-04 14:28:47.644045
,8,,2025,febrer,,INCENDIS,2,,0,2,2026-05-04 14:28:47.644045
,1,,2025,març,,INCENDIS,3,,0,3,2026-05-04 14:28:47.644045
,4,,2025,abril,,INCENDIS,4,,0,4,2026-05-04 14:28:47.644045
,3,,2025,maig,,INCENDIS,5,,0,5,2026-05-04 14:28:47.644045
,12,,2025,juny,,INCENDIS,6,,0,6,2026-05-04 14:28:47.644045
,3,,2025,juliol,,INCENDIS,7,,0,7,2026-05-04 14:28:47.644045
,5,,2025,agost,,INCENDIS,8,,0,8,2026-05-04 14:28:47.644045
,3,,2025,setembre,,INCENDIS,9,,0,9,2026-05-04 14:28:47.644045
,3,,2025,novembre,,INCENDIS,11,,0,10,2026-05-04 14:28:47.644045
,3,,2025,desembre,,INCENDIS,12,,0,11,2026-05-04 14:28:47.644045
1,22,Ciutat Vella,2025,gener,el Raval,INCENDIS,1,1,0,12,2026-05-04 14:28:47.644045
1,22,Ciutat Vella,2025,febrer,el Raval,INCENDIS,2,1,0,13,2026-05-04 14:28:47.644045
1,20,Ciutat Vella,2025,març,el Raval,INCENDIS,3,1,0,14,2026-05-04 14:28:47.644045
1,25,Ciutat Vella,2025,abril,el Raval,INCENDIS,4,1,0,15,2026-05-04 14:28:47.644045
1,25,Ciutat Vella,2025,maig,el Raval,INCENDIS,5,1,0,16,2026-05-04 14:28:47.644045
1,27,Ciutat Vella,2025,juny,el Raval,INCENDIS,6,1,0,17,2026-05-04 14:28:47.644045
1,31,Ciutat Vella,2025,juliol,el Raval,INCENDIS,7,1,0,18,2026-05-04 14:28:47.644045
1,32,Ciutat Vella,2025,agost,el Raval,INCENDIS,8,1,0,19,2026-05-04 14:28:47.644045
1,29,Ciutat Vella,2025,setembre,el Raval,INCENDIS,9,1,0,20,2026-05-04 14:28:47.644045
1,25,Ciutat Vella,2025,octubre,el Raval,INCENDIS,10,1,0,21,2026-05-04 14:28:47.644045
1,31,Ciutat Vella,2025,novembre,el Raval,INCENDIS,11,1,0,22,2026-05-04 14:28:47.644045
1,22,Ciutat Vella,2025,desembre,el Raval,INCENDIS,12,1,0,23,2026-05-04 14:28:47.644045
1,15,Ciutat Vella,2025,gener,el Barri Gòtic,INCENDIS,1,2,0,24,2026-05-04 14:28:47.644045
1,9,Ciutat Vella,2025,febrer,el Barri Gòtic,INCENDIS,2,2,0,25,2026-05-04 14:28:47.644045
1,16,Ciutat Vella,2025,març,el Barri Gòtic,INCENDIS,3,2,0,26,2026-05-04 14:28:47.644045
1,11,Ciutat Vella,2025,abril,el Barri Gòtic,INCENDIS,4,2,0,27,2026-05-04 14:28:47.644045
1,16,Ciutat Vella,2025,maig,el Barri Gòtic,INCENDIS,5,2,0,28,2026-05-04 14:28:47.644045
1,13,Ciutat Vella,2025,juny,el Barri Gòtic,INCENDIS,6,2,0,29,2026-05-04 14:28:47.644045
1,8,Ciutat Vella,2025,juliol,el Barri Gòtic,INCENDIS,7,2,0,30,2026-05-04 14:28:47.644045
1,13,Ciutat Vella,2025,agost,el Barri Gòtic,INCENDIS,8,2,0,31,2026-05-04 14:28:47.644045
1,8,Ciutat Vella,2025,setembre,el Barri Gòtic,INCENDIS,9,2,0,32,2026-05-04 14:28:47.644045
1,6,Ciutat Vella,2025,octubre,el Barri Gòtic,INCENDIS,10,2,0,33,2026-05-04 14:28:47.644045
1,8,Ciutat Vella,2025,novembre,el Barri Gòtic,INCENDIS,11,2,0,34,2026-05-04 14:28:47.644045
1,14,Ciutat Vella,2025,desembre,el Barri Gòtic,INCENDIS,12,2,0,35,2026-05-04 14:28:47.644045
1,7,Ciutat Vella,2025,gener,la Barceloneta,INCENDIS,1,3,0,36,2026-05-04 14:28:47.644045
1,4,Ciutat Vella,2025,febrer,la Barceloneta,INCENDIS,2,3,0,37,2026-05-04 14:28:47.644045
1,9,Ciutat Vella,2025,març,la Barceloneta,INCENDIS,3,3,0,38,2026-05-04 14:28:47.644045
1,7,Ciutat Vella,2025,abril,la Barceloneta,INCENDIS,4,3,0,39,2026-05-04 14:28:47.644045
1,6,Ciutat Vella,2025,maig,la Barceloneta,INCENDIS,5,3,0,40,2026-05-04 14:28:47.644045
1,11,Ciutat Vella,2025,juny,la Barceloneta,INCENDIS,6,3,0,41,2026-05-04 14:28:47.644045
1,12,Ciutat Vella,2025,juliol,la Barceloneta,INCENDIS,7,3,0,42,2026-05-04 14:28:47.644045
1,6,Ciutat Vella,2025,agost,la Barceloneta,INCENDIS,8,3,0,43,2026-05-04 14:28:47.644045
1,6,Ciutat Vella,2025,setembre,la Barceloneta,INCENDIS,9,3,0,44,2026-05-04 14:28:47.644045
1,8,Ciutat Vella,2025,octubre,la Barceloneta,INCENDIS,10,3,0,45,2026-05-04 14:28:47.644045
1,12,Ciutat Vella,2025,novembre,la Barceloneta,INCENDIS,11,3,0,46,2026-05-04 14:28:47.644045
1,3,Ciutat Vella,2025,desembre,la Barceloneta,INCENDIS,12,3,0,47,2026-05-04 14:28:47.644045
1,5,Ciutat Vella,2025,gener,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,1,4,0,48,2026-05-04 14:28:47.644045
1,6,Ciutat Vella,2025,febrer,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,2,4,0,49,2026-05-04 14:28:47.644045
1,6,Ciutat Vella,2025,març,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,3,4,0,50,2026-05-04 14:28:47.644045
1,7,Ciutat Vella,2025,abril,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,4,4,0,51,2026-05-04 14:28:47.644045
1,15,Ciutat Vella,2025,maig,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,5,4,0,52,2026-05-04 14:28:47.644045
1,7,Ciutat Vella,2025,juny,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,6,4,0,53,2026-05-04 14:28:47.644045
1,12,Ciutat Vella,2025,juliol,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,7,4,0,54,2026-05-04 14:28:47.644045
1,6,Ciutat Vella,2025,agost,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,8,4,0,55,2026-05-04 14:28:47.644045
1,13,Ciutat Vella,2025,setembre,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,9,4,0,56,2026-05-04 14:28:47.644045
1,3,Ciutat Vella,2025,octubre,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,10,4,0,57,2026-05-04 14:28:47.644045
1,10,Ciutat Vella,2025,novembre,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,11,4,0,58,2026-05-04 14:28:47.644045
1,11,Ciutat Vella,2025,desembre,"Sant Pere, Santa Caterina i la Ribera",INCENDIS,12,4,0,59,2026-05-04 14:28:47.644045
2,11,Eixample,2025,gener,el Fort Pienc,INCENDIS,1,5,0,60,2026-05-04 14:28:47.644045
2,14,Eixample,2025,febrer,el Fort Pienc,INCENDIS,2,5,0,61,2026-05-04 14:28:47.644045
2,17,Eixample,2025,març,el Fort Pienc,INCENDIS,3,5,0,62,2026-05-04 14:28:47.644045
2,8,Eixample,2025,abril,el Fort Pienc,INCENDIS,4,5,0,63,2026-05-04 14:28:47.644045
2,8,Eixample,2025,maig,el Fort Pienc,INCENDIS,5,5,0,64,2026-05-04 14:28:47.644045
2,16,Eixample,2025,juny,el Fort Pienc,INCENDIS,6,5,0,65,2026-05-04 14:28:47.644045
2,12,Eixample,2025,juliol,el Fort Pienc,INCENDIS,7,5,0,66,2026-05-04 14:28:47.644045
2,5,Eixample,2025,agost,el Fort Pienc,INCENDIS,8,5,0,67,2026-05-04 14:28:47.644045
2,9,Eixample,2025,setembre,el Fort Pienc,INCENDIS,9,5,0,68,2026-05-04 14:28:47.644045
2,9,Eixample,2025,octubre,el Fort Pienc,INCENDIS,10,5,0,69,2026-05-04 14:28:47.644045
2,10,Eixample,2025,novembre,el Fort Pienc,INCENDIS,11,5,0,70,2026-05-04 14:28:47.644045
2,3,Eixample,2025,desembre,el Fort Pienc,INCENDIS,12,5,0,71,2026-05-04 14:28:47.644045
2,13,Eixample,2025,gener,la Sagrada Família,INCENDIS,1,6,0,72,2026-05-04 14:28:47.644045
2,8,Eixample,2025,febrer,la Sagrada Família,INCENDIS,2,6,0,73,2026-05-04 14:28:47.644045
2,10,Eixample,2025,març,la Sagrada Família,INCENDIS,3,6,0,74,2026-05-04 14:28:47.644045
2,20,Eixample,2025,abril,la Sagrada Família,INCENDIS,4,6,0,75,2026-05-04 14:28:47.644045
2,6,Eixample,2025,maig,la Sagrada Família,INCENDIS,5,6,0,76,2026-05-04 14:28:47.644045
2,17,Eixample,2025,juny,la Sagrada Família,INCENDIS,6,6,0,77,2026-05-04 14:28:47.644045
2,21,Eixample,2025,juliol,la Sagrada Família,INCENDIS,7,6,0,78,2026-05-04 14:28:47.644045
2,11,Eixample,2025,agost,la Sagrada Família,INCENDIS,8,6,0,79,2026-05-04 14:28:47.644045
2,15,Eixample,2025,setembre,la Sagrada Família,INCENDIS,9,6,0,80,2026-05-04 14:28:47.644045
2,6,Eixample,2025,octubre,la Sagrada Família,INCENDIS,10,6,0,81,2026-05-04 14:28:47.644045
2,15,Eixample,2025,novembre,la Sagrada Família,INCENDIS,11,6,0,82,2026-05-04 14:28:47.644045
2,9,Eixample,2025,desembre,la Sagrada Família,INCENDIS,12,6,0,83,2026-05-04 14:28:47.644045
2,38,Eixample,2025,gener,la Dreta de l'Eixample,INCENDIS,1,7,0,84,2026-05-04 14:28:47.644045
2,20,Eixample,2025,febrer,la Dreta de l'Eixample,INCENDIS,2,7,0,85,2026-05-04 14:28:47.644045
2,34,Eixample,2025,març,la Dreta de l'Eixample,INCENDIS,3,7,0,86,2026-05-04 14:28:47.644045
2,31,Eixample,2025,abril,la Dreta de l'Eixample,INCENDIS,4,7,0,87,2026-05-04 14:28:47.644045
2,24,Eixample,2025,maig,la Dreta de l'Eixample,INCENDIS,5,7,0,88,2026-05-04 14:28:47.644045
2,31,Eixample,2025,juny,la Dreta de l'Eixample,INCENDIS,6,7,0,89,2026-05-04 14:28:47.644045
2,40,Eixample,2025,juliol,la Dreta de l'Eixample,INCENDIS,7,7,0,90,2026-05-04 14:28:47.644045
2,19,Eixample,2025,agost,la Dreta de l'Eixample,INCENDIS,8,7,0,91,2026-05-04 14:28:47.644045
2,15,Eixample,2025,setembre,la Dreta de l'Eixample,INCENDIS,9,7,0,92,2026-05-04 14:28:47.644045
2,17,Eixample,2025,octubre,la Dreta de l'Eixample,INCENDIS,10,7,0,93,2026-05-04 14:28:47.644045
2,16,Eixample,2025,novembre,la Dreta de l'Eixample,INCENDIS,11,7,0,94,2026-05-04 14:28:47.644045
